"name";"id_in_source"
"Asperula tinctoria L.";"49700"
"Asphodelus albus Mill.";"49800"
"Asplenium ×alternifolium Wulfen";"51600"
"Asplenium ×murbeckii Dörfl.";"51750"
"Asplenium adiantum-nigrum aggr.";"49910"
"Asplenium adulterinum Milde";"49950"
"Asplenium billotii F. W. Schultz";"50100"
"Asplenium ceterach L.";"50200"
"Asplenium fissum Willd.";"50400"
"Asplenium fontanum (L.) Bernh.";"50500"
"Asplenium foreziense Magnier";"50600"
"Asplenium lepidum C. Presl";"50700"
"Asplenium petrarchae (Guérin) DC.";"50830"
"Asplenium presolanense (Mokry & al.) J. C. Vogel & Rumsey";"50850"
"Asplenium ruta-muraria L.";"50900"
"Asplenium seelosii Leyb.";"51100"
"Asplenium septentrionale (L.) Hoffm.";"51200"
"Asplenium trichomanes L.";"51400"
"Asplenium viride Huds.";"51500"
"Aster alpinus L.";"51800"
"Aster amellus L.";"51900"
"Aster bellidiastrum (L.) Scop.";"52000"
"Aster laevis L.";"52050"
"Aster linosyris (L.) Bernh.";"52200"
"Aster novae-angliae L.";"52300"
"Aster novi-belgii aggr.";"52500"
"Aster squamatus (Spreng.) Hieron.";"52450"
"Astragalus alopecurus Pall.";"53100"
"Astragalus alpinus L.";"53200"
"Astragalus australis (L.) Lam.";"53300"
"Astragalus cicer L.";"53500"
"Astragalus danicus Retz.";"53600"
"Astragalus depressus L.";"53700"
"Astragalus exscapus L.";"53800"
"Astragalus frigidus (L.) A. Gray";"53900"
"Astragalus glycyphyllos L.";"54000"
"Astragalus hypoglottis L.";"54130"
"Astragalus leontinus Wulfen";"54200"
"Astragalus monspessulanus L.";"54300"
"Astragalus onobrychis L.";"54400"
"Astragalus penduliflorus Lam.";"54600"
"Astragalus sempervirens Lam.";"54800"
"Astragalus vesicarius L.";"54850"
"Astrantia major L.";"55200"
"Astrantia minor L.";"55300"
"Athamanta cretensis L.";"55400"
"Athamanta vestina A. Kern.";"55450"
"Athyrium distentifolium Opiz";"55600"
"Athyrium filix-femina (L.) Roth";"55700"
"Bellis perennis L.";"59100"
"Atriplex hortensis L.";"55900"
"Atriplex micrantha Ledeb.";"56050"
"Atriplex oblongifolia Waldst. & Kit.";"56200"
"Atriplex patula L.";"56300"
"Atriplex prostrata DC.";"56400"
"Atriplex rosea L.";"56430"
"Atriplex sagittata Borkh.";"56450"
"Atriplex tatarica L.";"56480"
"Atropa bella-donna L.";"56500"
"Aubrieta deltoidea (L.) DC.";"56600"
"Aucuba japonica Thunb.";"56650"
"Aurinia saxatilis (L.) Desv.";"56700"
"Avena barbata Link";"56750"
"Avena fatua L.";"56900"
"Avena nuda L.";"56950"
"Avena sativa L.";"57050"
"Avena sterilis L.";"57230"
"Avena strigosa Schreb.";"57300"
"Avenella flexuosa (L.) Drejer";"57400"
"Azolla filiculoides Lam.";"57750"
"Baldellia ranunculoides (L.) Parl.";"57800"
"Ballota nigra L.";"57995"
"Bambusa bambos (L.) Voss";"58170"
"Barbarea bracteosa Guss.";"58200"
"Barbarea intermedia Boreau";"58300"
"Barbarea stricta Andrz.";"58400"
"Barbarea verna (Mill.) Asch.";"58500"
"Barbarea vulgaris R. Br.";"58600"
"Bartsia alpina L.";"58700"
"Bassia prostrata (L.) Beck";"58800"
"Bassia scoparia (L.) A. J. Scott";"58900"
"Berardia lanuginosa (Lam.) Fiori";"59130"
"Berberis julianae C. K. Schneid.";"59155"
"Berberis thunbergii DC.";"59160"
"Berberis vulgaris L.";"59200"
"Bergenia crassifolia (L.) Fritsch";"59300"
"Berteroa incana (L.) DC.";"59400"
"Berula erecta (Huds.) Coville";"59500"
"Blechnum spicant (L.) Roth";"62500"
"Beta trigyna Waldst. & Kit.";"59550"
"Beta vulgaris L.";"59600"
"Betula humilis Schrank";"60200"
"Betula nana L.";"60300"
"Betula pendula aggr.";"60450"
"Bidens bipinnata L.";"60600"
"Bidens cernua L.";"60800"
"Bidens connata Willd.";"60900"
"Bidens ferulifolia (Jacq.) DC.";"61050"
"Bidens frondosa L.";"61100"
"Bidens radiata Thuill.";"61200"
"Bidens subalternans DC.";"61300"
"Bidens tripartita L.";"61350"
"Bifora radians M. Bieb.";"61600"
"Biscutella cichoriifolia Loisel.";"61800"
"Biscutella laevigata L.";"62000"
"Bituminaria bituminosa (L.) C. H. Stirt.";"62250"
"Blackstonia acuminata (W. D. J. Koch & Ziz) Domin";"62300"
"Blackstonia perfoliata (L.) Huds.";"62400"
"Blitum capitatum L.";"62600"
"Blitum virgatum L.";"62700"
"Blysmus compressus (L.) Link";"62800"
"Bolboschoenus maritimus aggr.";"62900"
"Borago officinalis L.";"63000"
"Bothriochloa ischaemum (L.) Keng";"63100"
"Botrychium lanceolatum (S. G. Gmel.) Ångstr.";"63200"
"Botrychium lunaria (L.) Sw.";"63300"
"Botrychium matricariifolium (Döll) W. D. J. Koch";"63400"
"Botrychium multifidum (S. G. Gmel.) Rupr.";"63500"
"Botrychium simplex E. Hitchc.";"63600"
"Botrychium virginianum (L.) Sw.";"63700"
"Brachypodium phoenicoides (L.) Roem. & Schult.";"63850"
"Vinca major L.";"448300"
"Brachypodium pinnatum aggr.";"64000"
"Brachypodium sylvaticum (Huds.) P. Beauv.";"64200"
"Brassica fruticulosa Cirillo";"64250"
