"name";"id_in_source"
"Agrostemma githago L. (Kornrade)";"8200"
"Agrostis agrostiflora (Beck) Rauschert";"8300"
"Agrostis alpina aggr.";"1001265"
"Agrostis alpina Scop. (Alpen-Straussgras)";"8400"
"Agrostis canina aggr.";"1001266"
"Agrostis canina L. (Sumpf-Straussgras)";"8500"
"Agrostis capillaris aggr.";"1001268"
"Agrostis capillaris L. (Gemeines Straussgras)";"8600"
"Agrostis castellana";"1001269"
"Agrostis gigantea Roth (Fioringras, Riesen-Straussgras)";"8700"
"Agrostis interrupta L.";"8800"
"Agrostis pusilla (Steppenwindhalm)";"1000023"
"Agrostis rupestris All. (Felsen-Straussgras)";"8900"
"Agrostis schleicheri Jord. & Verl. (Schleichers Straussgras)";"9000"
"Agrostis schraderiana Bech. (Zartes Straussgras)";"9100"
"Agrostis sp.";"1001035"
"Agrostis spica-venti L.";"9200"
"Agrostis stolonifera L. (Kriechendes Straussgras)";"9300"
"Agrostis tenuis Sibth.";"9400"
"Agrostis verticillata (Quirlblütiger Windhalm)";"1000022"
"Agrostis vinealis";"1001267"
"Ailanthus altissima (Mill.) Swingle (Götterbaum)";"9500"
"Ailanthus glandulosa Desf.";"9600"
"Aira caryophyllea aggr.";"1001270"
"Aira caryophyllea L. (Nelken-Haferschmiele)";"9700"
"Aira cupaniana";"1001271"
"Aira elegans Gaudin";"9800"
"Aira elegantissima Schur (Zierliche Haferschmiele)";"9900"
"Aira multiculmis";"1001272"
"Aira praecox L. (Frühe Haferschmiele)";"10000"
"Aira tenorei";"1001273"
"Airopsis insularis";"1000030"
"Ajuga chamaepitys (L.) Schreb. (Gelber Günsel)";"10100"
"Ajuga genevensis L. (Genfer Günsel)";"10200"
"Ajuga pyramidalis L. (Berg-Günsel)";"10300"
"Ajuga reptans L. (Kriechender Günsel)";"10400"
"Ajuga sp.";"1003971"
"Albizia julibrissin";"1001274"
"Alcea biennis";"1001276"
"Alcea rosea aggr.";"1001275"
"Alcea rosea L. (Gewöhnliche Stockrose)";"10500"
"Alchemilla acrodon";"1001299"
"Alchemilla acuminatidens Buser";"10600"
"Alchemilla acutata";"1001300"
"Alchemilla acutidens Buser";"10700"
"Alchemilla acutiloba Opiz";"10800"
"Alchemilla aggregata Buser";"10900"
"Alchemilla alneti";"1001301"
"Alchemilla alpina aggr.";"1001277"
"Alchemilla alpina aggr. auct. helv.";"11100"
"Alchemilla alpina aggr. sensu Heitz (Alpen-Frauenmantel, Silbermantel)";"11200"
"Alchemilla alpina L.";"11000"
"Alchemilla amphibola";"1001278"
"Alchemilla amphisericea Buser";"11300"
"Alchemilla angustifolia Buser";"11400"
"Alchemilla anisiaca";"1001279"
"Alchemilla antiropata";"1001302"
"Alchemilla argentidens";"1001280"
"Alchemilla arvensis (L.) Scop.";"11500"
"Alchemilla atrovirens Buser";"11600"
"Alchemilla bonae";"1001303"
"Alchemilla brachetiana";"1001281"
"Alchemilla buseri";"1001282"
"Alchemilla canifolia";"1001304"
"Alchemilla carinthiaca";"1001305"
"Alchemilla carniolica";"1001306"
"Alchemilla cataractarum";"1001307"
"Alchemilla cavillieri";"1001308"
"Alchemilla chirophylla Buser";"11700"
"Alchemilla cinerea";"1001309"
"Alchemilla colorata Buser";"11800"
"Alchemilla compta";"1001310"
"Alchemilla conjuncta aggr. auct. helv.";"12100"
"Alchemilla conjuncta aggr. sensu Heitz (Verwachsener Frauenmantel)";"12000"
"Alchemilla conjuncta Bab.";"11900"
"Alchemilla connivens Buser";"12200"
"Alchemilla controversa Buser";"12300"
